ID,name,biography,dateOfBirth
a1b2c3d4-e5f6-7890-abcd-ef1234567801,Emily Brontë,English novelist and poet best known for Wuthering Heights,1818-07-30
a1b2c3d4-e5f6-7890-abcd-ef1234567802,Charlotte Brontë,English novelist and poet. Author of Jane Eyre,1816-04-21
a1b2c3d4-e5f6-7890-abcd-ef1234567803,Edgar Allan Poe,American writer and literary critic known for mystery and macabre,1809-01-19
a1b2c3d4-e5f6-7890-abcd-ef1234567804,Richard Carpenter,English screenwriter and author known for Catweazle,1929-09-11
a1b2c3d4-e5f6-7890-abcd-ef1234567805,Jane Austen,English novelist known for social commentary and realism,1775-12-16
a1b2c3d4-e5f6-7890-abcd-ef1234567806,Mark Twain,American humorist and novelist. Author of Adventures of Huckleberry Finn,1835-11-30
a1b2c3d4-e5f6-7890-abcd-ef1234567807,F. Scott Fitzgerald,American novelist of the Jazz Age,1896-09-24
a1b2c3d4-e5f6-7890-abcd-ef1234567808,Harper Lee,American novelist best known for To Kill a Mockingbird,1926-04-28
a1b2c3d4-e5f6-7890-abcd-ef1234567809,George Orwell,English novelist and essayist; sharp critic of totalitarianism,1903-06-25
a1b2c3d4-e5f6-7890-abcd-ef1234567810,Aldous Huxley,English writer and philosopher; author of Brave New World,1894-07-26
a1b2c3d4-e5f6-7890-abcd-ef1234567811,Mary Shelley,English novelist who pioneered modern science fiction,1797-08-30
a1b2c3d4-e5f6-7890-abcd-ef1234567812,Bram Stoker,Irish author best known for the gothic horror novel Dracula,1847-11-08
a1b2c3d4-e5f6-7890-abcd-ef1234567813,Oscar Wilde,Irish poet and playwright famed for his wit,1854-10-16
a1b2c3d4-e5f6-7890-abcd-ef1234567814,Herman Melville,American novelist and short story writer,1819-08-01
a1b2c3d4-e5f6-7890-abcd-ef1234567815,Fyodor Dostoyevsky,Russian novelist exploring psychology and morality,1821-11-11
a1b2c3d4-e5f6-7890-abcd-ef1234567816,Leo Tolstoy,Russian writer regarded among the greatest of all time,1828-09-09
a1b2c3d4-e5f6-7890-abcd-ef1234567817,Victor Hugo,French novelist and poet of the Romantic movement,1802-02-26
